date,price,volume
2024-08-27,63.6843147277832,9846362
2024-08-28,63.70863342285156,11826414
2024-08-29,64.67481994628906,8806186
2024-08-30,64.0868911743164,10970323
2024-08-31,62.4696044921875,6092264
2024-09-01,60.5850830078125,7030098
2024-09-02,62.451942443847656,8720821
2024-09-03,60.25791549682617,7197661
2024-09-04,62.31507110595703,8664078
2024-09-05,60.13236999511719,7537479
2024-09-06,57.47197723388672,13195199
2024-09-07,60.060638427734375,6171249
2024-09-08,69.17528533935547,36583110
2024-09-09,73.25992584228516,24451975
2024-09-10,72.92164611816406,15088268
2024-09-11,70.82098388671875,12701682
2024-09-12,77.5999526977539,14779523
2024-09-13,76.51152801513672,14811747
2024-09-14,74.36885833740234,8537203
2024-09-15,72.9572982788086,8819161
2024-09-16,70.51866912841797,9754945
2024-09-17,69.55104064941406,9288677
2024-09-18,73.00712585449219,11820644
2024-09-19,73.87541961669922,13659753
2024-09-20,76.8517074584961,11819389
2024-09-21,75.1933822631836,8864560
2024-09-22,73.93540954589844,9131233
2024-09-23,78.11202239990234,14173642
2024-09-24,77.63216400146484,11598547
2024-09-25,78.02410125732422,10944687
2024-09-26,79.28449249267578,11193460
2024-09-27,78.57941436767578,13483277
2024-09-28,77.09636688232422,8735586
2024-09-29,76.05358123779297,10877720
2024-09-30,72.99840545654297,11655572
2024-10-01,68.67684936523438,17122286
2024-10-02,67.14885711669922,12376008
2024-10-03,68.05039978027344,11242658
2024-10-04,70.48348236083984,10086218
2024-10-05,68.7724838256836,10047360
2024-10-06,69.57908630371094,8372597
2024-10-07,67.3553466796875,10806692
2024-10-08,66.60486602783203,10522174
2024-10-09,65.77308654785156,14630343
2024-10-10,65.9571533203125,9041348
2024-10-11,66.6968002319336,8704323
2024-10-12,66.4920425415039,7915917
2024-10-13,64.74889373779297,9812764
2024-10-14,67.96614837646484,14908076
2024-10-15,67.02980041503906,17769401
2024-10-16,66.08943939208984,9889874
2024-10-17,64.53044128417969,10571695
2024-10-18,66.34803771972656,8975258
2024-10-19,65.64826202392578,8061170
2024-10-20,67.20442199707031,10728414
2024-10-21,65.22924041748047,11730463
2024-10-22,64.89852142333984,10806735
2024-10-23,62.938228607177734,12201051
2024-10-24,63.7520751953125,9790426
2024-10-25,58.77556610107422,14071854
2024-10-26,61.55160140991211,11563735
2024-10-27,61.41317367553711,7736824
2024-10-28,61.127647399902344,14359734
2024-10-29,62.135398864746094,16029755
2024-10-30,61.24700164794922,12465225
2024-10-31,59.08195114135742,13963923
2024-11-01,58.11765670776367,13598764
2024-11-02,57.46115493774414,8802314
2024-11-03,56.06856155395508,11491953
2024-11-04,56.13134002685547,11848739
2024-11-05,56.92816925048828,11723143
2024-11-06,61.883243560791016,24278717
2024-11-07,62.084022521972656,16850354
2024-11-08,61.49043273925781,15542996
2024-11-09,63.737640380859375,15375339
2024-11-10,67.51824188232422,30913007
2024-11-11,70.50669860839844,32199860
2024-11-12,62.93638610839844,45105581
2024-11-13,61.911415100097656,39996744
2024-11-14,61.43815231323242,27300644
2024-11-15,66.24591827392578,29159762
2024-11-16,87.84927368164062,162538056
2024-11-17,79.52540588378906,62793448
2024-11-18,87.35772705078125,75036930
2024-11-19,91.87730407714844,58124051
2024-11-20,88.1044921875,43185510
2024-11-21,86.58514404296875,41527908
2024-11-22,92.11345672607422,77271464
2024-11-23,99.37532806396484,87777831
2024-11-24,97.69989013671875,58518177
2024-11-25,95.931640625,51253443
2024-11-26,93.97660064697266,49033891
2024-11-27,96.17681121826172,47222723
2024-11-28,94.40153503417969,33481881
2024-11-29,97.91354370117188,40728075
2024-11-30,99.21272277832031,47399031
2024-12-01,110.7295913696289,66005309
2024-12-02,129.09812927246094,238078635
2024-12-03,142.87672424316406,214189851
2024-12-04,149.0661163330078,155368538
2024-12-05,141.33856201171875,113285197
2024-12-06,160.48202514648438,90939567
2024-12-07,166.16183471679688,126749861
2024-12-08,160.8863067626953,64324155
2024-12-09,137.33741760253906,104956535
2024-12-10,138.683837890625,88587055
2024-12-11,143.3633575439453,64765864
2024-12-12,140.21356201171875,50571379
2024-12-13,142.75735473632812,49136534
2024-12-14,138.8866424560547,34360472
2024-12-15,140.29962158203125,32342057
2024-12-16,133.14340209960938,42743508
2024-12-17,127.73262023925781,44312529
2024-12-18,114.69745635986328,56191063
2024-12-19,109.68705749511719,75026057
2024-12-20,111.66368103027344,70959925
2024-12-21,107.54425048828125,40251564
2024-12-22,104.71430206298828,27985324
2024-12-23,116.64790344238281,36692261
2024-12-24,121.0623779296875,34478701
2024-12-25,119.0604248046875,18787854
2024-12-26,111.55535125732422,19626331
2024-12-27,115.4325180053711,23834324
2024-12-28,117.05054473876953,19789549
2024-12-29,113.6302490234375,22143009
2024-12-30,107.18490600585938,23883316
2024-12-31,106.22024536132812,22859053
2025-01-01,115.52507019042969,22191373
2025-01-02,113.34587860107422,32336487
2025-01-03,120.72438049316406,29156925
2025-01-04,118.14537811279297,22970314
2025-01-05,118.77901458740234,22492126
2025-01-06,116.53520202636719,29088011
2025-01-07,108.2352523803711,31373524
2025-01-08,105.8404541015625,30916815
2025-01-09,102.54629516601562,27871301
2025-01-10,103.77993774414062,29979093
2025-01-11,107.57804107666016,24187791
2025-01-12,104.46427154541016,19759579
2025-01-13,101.72727966308594,35627596
2025-01-14,104.78907775878906,27413774
2025-01-15,120.69161224365234,53252950
2025-01-16,119.05371856689453,42279805
2025-01-17,121.58570098876953,36301598
2025-01-18,115.32488250732422,34017028
2025-01-19,103.74097442626953,50439909
2025-01-20,105.25159454345703,54234098
2025-01-21,115.77989959716797,43135161
2025-01-22,112.80838012695312,34124160
2025-01-23,108.16221618652344,34012052
2025-01-24,106.58868408203125,30084512
2025-01-25,107.0914535522461,28912332
2025-01-26,105.15375518798828,28719081
2025-01-27,100.96315002441406,42538863
2025-01-28,97.15802764892578,31203107
2025-01-29,101.52770233154297,34277832
2025-01-30,110.6064682006836,41131523
2025-01-31,111.85966491699219,44059595
2025-02-01,103.70808410644531,34296773
2025-02-02,89.16358184814453,67003611
2025-02-03,96.40311431884766,111974257
2025-02-04,91.64453887939453,56426447
2025-02-05,88.87828063964844,32941345
2025-02-06,84.00640869140625,29700604
2025-02-07,87.43292236328125,35010878
2025-02-08,86.45674896240234,23784292
2025-02-09,87.08931732177734,26236894
2025-02-10,88.38341522216797,29335770
2025-02-11,88.69618225097656,30927647
2025-02-12,92.66229248046875,37597028
