date,price,volume
2024-08-27,5095.00927734375,11577652
2024-08-28,5302.07177734375,15308323
2024-08-29,5149.58837890625,12029360
2024-08-30,5202.0244140625,10117839
2024-08-31,5196.2333984375,6137134
2024-09-01,5003.69921875,8714767
2024-09-02,5117.619140625,7514729
2024-09-03,4877.53759765625,10872877
2024-09-04,4950.591796875,10530673
2024-09-05,4870.21728515625,7465165
2024-09-06,4746.0283203125,10573209
2024-09-07,4804.86572265625,6857779
2024-09-08,4899.9404296875,6364461
2024-09-09,5001.47705078125,11316539
2024-09-10,4949.99560546875,11424629
2024-09-11,4855.81201171875,9839227
2024-09-12,4874.82470703125,8519306
2024-09-13,4896.12353515625,10428180
2024-09-14,4921.2041015625,8680083
2024-09-15,4883.76220703125,8260036
2024-09-16,4818.54248046875,9039715
2024-09-17,4902.97802734375,8439335
2024-09-18,4897.072265625,12942100
2024-09-19,5002.18310546875,13832881
2024-09-20,5017.49365234375,13639441
2024-09-21,5066.3974609375,7818731
2024-09-22,4980.12646484375,7927412
2024-09-23,5055.080078125,10246011
2024-09-24,5108.0166015625,10471360
2024-09-25,5112.07470703125,9849010
2024-09-26,5313.12890625,14742177
2024-09-27,5408.01513671875,12439615
2024-09-28,5351.04736328125,9871061
2024-09-29,5561.236328125,15005284
2024-09-30,5342.53857421875,14728725
2024-10-01,4996.421875,16052748
2024-10-02,4903.26806640625,12156860
2024-10-03,4867.6875,10285409
2024-10-04,5005.75390625,8901491
2024-10-05,4972.435546875,6198357
2024-10-06,5068.470703125,6395581
2024-10-07,5061.23779296875,9964610
2024-10-08,5010.93798828125,7793823
2024-10-09,4866.03466796875,8150832
2024-10-10,4855.1923828125,15391425
2024-10-11,4910.28759765625,11883251
2024-10-12,4947.65283203125,10819049
2024-10-13,4892.107421875,12733298
2024-10-14,5038.3828125,18831820
2024-10-15,5037.84130859375,23561010
2024-10-16,4998.07763671875,17772078
2024-10-17,4928.61083984375,16238918
2024-10-18,4998.623046875,12612757
2024-10-19,5050.22802734375,12345807
2024-10-20,5198.13330078125,16092091
2024-10-21,5103.328125,18975145
2024-10-22,5121.22021484375,16375242
2024-10-23,4911.34228515625,20296993
2024-10-24,4970.76611328125,14988653
2024-10-25,4633.87451171875,20463258
2024-10-26,4658.42724609375,15594527
2024-10-27,4725.96435546875,11029213
2024-10-28,4771.10595703125,18475778
2024-10-29,5024.662109375,21059019
2024-10-30,4929.7158203125,20288498
2024-10-31,4718.2578125,20223905
2024-11-01,4701.7470703125,18450942
2024-11-02,4635.25830078125,14605167
2024-11-03,4586.4775390625,22188463
2024-11-04,4482.69287109375,20608804
2024-11-05,4579.5244140625,19351313
2024-11-06,5148.20556640625,36448552
2024-11-07,5128.6240234375,35327841
2024-11-08,5222.2724609375,30193468
2024-11-09,5416.21142578125,25410067
2024-11-10,6958.140625,318472245
2024-11-11,6860.5166015625,98495934
2024-11-12,6392.68994140625,94894808
2024-11-13,6312.33251953125,53147105
2024-11-14,6102.8681640625,30238099
2024-11-15,6270.47021484375,27104365
2024-11-16,6485.2431640625,28932953
2024-11-17,6123.3046875,27006376
2024-11-18,6416.9599609375,28650861
2024-11-19,6334.46240234375,22218821
2024-11-20,6071.29296875,28695351
2024-11-21,6525.43359375,36137915
2024-11-22,6576.06103515625,27731099
2024-11-23,7284.67919921875,89710208
2024-11-24,7410.390625,70609924
2024-11-25,7200.45361328125,49468068
2024-11-26,7158.7353515625,37030181
2024-11-27,7529.12744140625,34657017
2024-11-28,7366.35693359375,22437295
2024-11-29,7648.4150390625,26166963
2024-11-30,8062.05224609375,63075406
2024-12-01,7999.48876953125,34314809
2024-12-02,8540.671875,71198443
2024-12-03,9244.4072265625,112995102
2024-12-04,10203.7939453125,111894944
2024-12-05,11614.490234375,350540252
2024-12-06,14015.37109375,306529512
2024-12-07,13743.4951171875,207909053
2024-12-08,12871.7783203125,116918307
2024-12-09,10517.9755859375,207078581
2024-12-10,11073.4384765625,184931192
2024-12-11,11564.3203125,122814818
2024-12-12,11448.607421875,82364788
2024-12-13,11419.994140625,51672951
2024-12-14,10726.4921875,44879730
2024-12-15,10981.6728515625,41489789
2024-12-16,10748.890625,50498672
2024-12-17,10049.796875,47138171
2024-12-18,9226.619140625,59012255
2024-12-19,8517.7421875,71256536
2024-12-20,9070.3828125,76437962
2024-12-21,8545.1279296875,47568895
2024-12-22,8562.3388671875,28635142
2024-12-23,9020.8759765625,34545605
2024-12-24,9342.669921875,32244427
2024-12-25,9209.484375,20603029
2024-12-26,8531.7685546875,22594879
2024-12-27,8509.828125,20894168
2024-12-28,8763.4453125,15798934
2024-12-29,8327.6708984375,16234958
2024-12-30,8256.7236328125,21906690
2024-12-31,7997.17724609375,22419959
2025-01-01,8312.3251953125,17837481
2025-01-02,8366.060546875,27666691
2025-01-03,8916.3720703125,29043452
2025-01-04,8864.095703125,23197902
2025-01-05,8956.0517578125,20701581
2025-01-06,9041.689453125,26308985
2025-01-07,8185.37548828125,29438402
2025-01-08,8156.81494140625,26007868
2025-01-09,7871.9736328125,25060710
2025-01-10,8046.8125,23003206
2025-01-11,7986.99365234375,16411741
2025-01-12,7891.66357421875,17173206
2025-01-13,7795.5087890625,31476568
2025-01-14,7956.29736328125,19973210
2025-01-15,8440.6943359375,28818017
2025-01-16,8212.9462890625,28010570
2025-01-17,8732.24609375,34340348
2025-01-18,8191.52001953125,29502481
2025-01-19,7570.96875,41261954
2025-01-20,7778.4296875,46762675
2025-01-21,7779.736328125,28867916
2025-01-22,7573.11474609375,18892743
2025-01-23,7662.01123046875,27783641
2025-01-24,7473.341796875,20920512
2025-01-25,7533.14599609375,17206041
2025-01-26,7183.68701171875,16062387
2025-01-27,7293.84619140625,35785901
2025-01-28,6884.6357421875,19287870
2025-01-29,7090.14013671875,27077884
2025-01-30,7203.8271484375,20134872
2025-01-31,7167.91064453125,23890461
2025-02-01,6607.6572265625,21759028
2025-02-02,5979.94970703125,40069391
2025-02-03,6364.3720703125,81874310
2025-02-04,6047.7685546875,36785447
2025-02-05,5911.04052734375,23007928
2025-02-06,5786.62548828125,27984157
2025-02-07,5671.06982421875,28003777
2025-02-08,5775.75634765625,19106323
2025-02-09,5705.53466796875,18210891
2025-02-10,5710.77294921875,22990398
2025-02-11,5756.52392578125,24698387
2025-02-12,6047.576171875,27454095
2025-02-13,6008.45068359375,24827910
2025-02-14,6119.11962890625,24327336
2025-02-15,5974.4189453125,15754391
2025-02-16,5932.0341796875,16135670
2025-02-17,6009.53662109375,19462415
2025-02-18,5737.80859375,19705338
2025-02-19,5884.1455078125,43258570
2025-02-20,5934.25146484375,24075092
2025-02-21,5827.3330078125,32838432
2025-02-22,6118.880859375,29467270
2025-02-23,6013.328125,19900762
2025-02-24,5539.2216796875,38364551
2025-02-25,5751.29736328125,43805995
2025-02-26,5571.3955078125,38476990
2025-02-27,5732.1044921875,28245894
2025-02-28,5577.75146484375,40713047
2025-03-01,5487.033203125,21766853
2025-03-02,6018.15576171875,40759802
2025-03-03,5354.67236328125,36192041
2025-03-04,5383.79345703125,33113825
2025-03-05,5517.439453125,18785622
2025-03-06,5402.56640625,20255374
2025-03-07,5359.64794921875,29967265
2025-03-08,5306.18505859375,15878405
2025-03-09,4932.46044921875,22433961
2025-03-10,4868.73974609375,35511528
2025-03-11,5068.0234375,36714846
2025-03-12,5101.66259765625,24389459
2025-03-13,4960.3818359375,31608532
2025-03-14,5052.63720703125,25151927
2025-03-15,5202.4775390625,19841921
2025-03-16,4925.5947265625,23560919
2025-03-17,5126.46435546875,21643145
2025-03-18,5112.22021484375,20762513
2025-03-19,5413.7099609375,35949637
2025-03-20,5166.73779296875,26706759
2025-03-21,5114.37451171875,23975151
2025-03-22,5187.6103515625,18633128
2025-03-23,5151.8369140625,22666214
2025-03-24,5399.0439453125,31400033
2025-03-25,5421.77978515625,26315925
2025-03-26,5332.27099609375,37275275
2025-03-27,5330.328125,22763769
2025-03-28,5004.91552734375,24468889
2025-03-29,4694.43310546875,26720152
2025-03-30,4820.57421875,19780590
2025-03-31,4788.88525390625,19125016
2025-04-01,4879.33349609375,21436299
2025-04-02,4672.97509765625,29837618
2025-04-03,4781.21826171875,27248613
2025-04-04,4812.2470703125,27404214
2025-04-05,4817.86865234375,12926214
2025-04-06,4492.15185546875,21943740
2025-04-07,4521.322265625,52242587
2025-04-08,4417.63232421875,25383036
2025-04-09,4731.46826171875,33186709
2025-04-10,4426.60546875,27896348
2025-04-11,4576.166015625,20943255
2025-04-12,4769.5693359375,18023611
2025-04-13,4559.26708984375,16908823
2025-04-14,4527.4140625,18685050
2025-04-15,4467.373046875,21835787
2025-04-16,4432.7646484375,45399458
2025-04-17,4440.98486328125,16327269
2025-04-18,4493.4365234375,15137683
2025-04-19,4593.69775390625,12471500
2025-04-20,4685.3330078125,15261416
2025-04-21,4732.11865234375,17777466
2025-04-22,4981.6826171875,24677847
2025-04-23,5146.2216796875,24752465
2025-04-24,5261.3701171875,17752063
2025-04-25,5290.208984375,18365855
2025-04-26,5842.31103515625,28958417
2025-04-27,6094.6455078125,48271516
2025-04-28,5906.24560546875,31798124
2025-04-29,5655.7734375,18127409
2025-04-30,5572.56396484375,19283385
2025-05-01,5626.82373046875,14835718
2025-05-02,5617.89404296875,13458294
2025-05-03,5433.11181640625,8480535
2025-05-04,5250.92138671875,10416206
2025-05-05,5241.203125,14145517
2025-05-06,5140.79736328125,13268711
2025-05-07,5168.27587890625,12180499
2025-05-08,6153.7900390625,28820274
2025-05-09,6045.18994140625,35255509
2025-05-10,6518.841796875,32515113
2025-05-11,6382.76220703125,28250310
2025-05-12,6153.064453125,31607795
2025-05-13,6347.044921875,25585450
2025-05-14,6046.171875,24265120
2025-05-15,5738.626953125,24861227
2025-05-16,5695.283203125,17505330
2025-05-17,5529.078125,20437776
2025-05-18,5648.30712890625,25122704
2025-05-19,5548.6298828125,24840804
2025-05-20,5675.14111328125,22516590
2025-05-21,5720.22021484375,20288988
2025-05-22,5952.380859375,20687306
2025-05-23,5567.181640625,24300829
2025-05-24,5553.14111328125,13412365
2025-05-25,5559.8076171875,15065276
2025-05-26,5593.53662109375,13805633
2025-05-27,5621.740234375,14568131
2025-05-28,5625.640625,15697021
2025-05-29,5486.642578125,16296500
2025-05-30,5054.35986328125,23517455
2025-05-31,5203.357421875,15802627
2025-06-01,5292.3486328125,12190292
2025-06-02,5348.23681640625,13827154
2025-06-03,5319.61328125,13266520
2025-06-04,5187.970703125,11898818
2025-06-05,5042.4453125,17246745
2025-06-06,5091.6953125,14666371
2025-06-07,5239.43017578125,8561693
2025-06-08,5210.87890625,8612767
2025-06-09,5327.20361328125,15027412
2025-06-10,5631.64990234375,21687820
2025-06-11,5532.39306640625,26584483
2025-06-12,5294.7568359375,15484942
2025-06-13,5188.63525390625,24888454
2025-06-14,5093.81298828125,10815991
2025-06-15,5068.1904296875,11435248
2025-06-16,5115.51171875,15033077
2025-06-17,5027.15185546875,14783463
2025-06-18,5040.5908203125,15914061
2025-06-19,5021.6455078125,11184150
2025-06-20,4857.6318359375,14559858
2025-06-21,4666.6318359375,13532750
2025-06-22,4657.38671875,25211730
2025-06-23,5057.98291015625,21481641
2025-06-24,5191.51904296875,17142571
2025-06-25,5088.70068359375,15248547
2025-06-26,5008.3564453125,11749367
2025-06-27,4991.33984375,11979003
2025-06-28,5033.79638671875,8801439
2025-06-29,5218.7822265625,12640712
2025-06-30,5128.5087890625,13837174
2025-07-01,4905.0732421875,15491210
2025-07-02,5207.7060546875,16779539
2025-07-03,5252.64990234375,12563496
2025-07-04,5073.013671875,15128713
2025-07-05,5046.63818359375,13161681
2025-07-06,5202.17431640625,12661070
2025-07-07,5088.501953125,12133775
2025-07-08,5172.49169921875,10170476
2025-07-09,5429.12548828125,16844636
2025-07-10,5719.3408203125,19548181
2025-07-11,5583.72802734375,25515931
2025-07-12,5599.1015625,15533362
2025-07-13,5649.12548828125,15465142
2025-07-14,5611.134765625,24476999
2025-07-15,5749.31396484375,21410200
2025-07-16,5937.60205078125,26641691
2025-07-17,5962.693359375,25926432
2025-07-18,6003.05908203125,35286682
2025-07-19,6084.0927734375,20437950
2025-07-20,6174.4326171875,25978797
2025-07-21,6139.96728515625,26235442
2025-07-22,6141.041015625,30524319
2025-07-23,5601.1318359375,30098104
2025-07-24,5536.91845703125,26848391
2025-07-25,5522.8125,27468120
2025-07-26,5578.02880859375,14213284
2025-07-27,5717.41162109375,17087559
2025-07-28,5446.56640625,23987569
2025-07-29,5455.388671875,22275787
2025-07-30,5452.68701171875,22441644
2025-07-31,5207.92919921875,20585338
2025-08-01,5087.5703125,27582939
2025-08-02,5024.27099609375,17173141
2025-08-03,5116.41748046875,10612107
2025-08-04,5362.0654296875,13916915
2025-08-05,5203.56103515625,14807017
2025-08-06,5258.39794921875,12925922
2025-08-07,5495.078125,15366507
2025-08-08,5587.98974609375,36313067
2025-08-09,6095.4384765625,30283010
2025-08-10,5856.67138671875,31085416
2025-08-11,5604.3447265625,26540837
2025-08-12,5866.29833984375,22496463
2025-08-13,6057.89208984375,28634849
2025-08-14,5591.828125,31685330
2025-08-15,5602.31640625,19456369
2025-08-16,5649.9365234375,11639790
2025-08-17,5677.6669921875,13861554
2025-08-18,5518.65966796875,18048647
2025-08-19,5341.828125,16947917
2025-08-20,5594.25732421875,15477581
2025-08-21,5409.64208984375,16087127
2025-08-22,5992.59619140625,35665226
2025-08-23,5916.052734375,18555727
2025-08-24,5770.28955078125,21253483
2025-08-25,5362.763671875,25665064
2025-08-26,5528.2685546875,17921069
2025-08-27,5456.85595703125,14556087
2025-08-28,5469.4970703125,18105298
2025-08-29,5322.22021484375,18706028
2025-08-30,5352.56005859375,10915942
2025-08-31,5258.02099609375,11886500
2025-09-01,5182.244140625,15129523
2025-09-02,5287.806640625,18181200
2025-09-03,5327.38671875,13370743
2025-09-04,5168.71826171875,14693967
2025-09-05,5241.72509765625,14987151
2025-09-06,5174.9091796875,9708930
2025-09-07,5223.93359375,9581533
2025-09-08,5326.12841796875,14941562
2025-09-09,5383.7548828125,20446932
2025-09-10,5458.97509765625,18325369
2025-09-11,5504.01904296875,33654032
2025-09-12,5660.57568359375,16808635
2025-09-13,5670.3271484375,15969137
2025-09-14,5527.41357421875,13167267
